incident_id,opened_date,severity,affected_system_ar,incident_title_ar,incident_summary_ar,responsible_unit,status
INC-00044,2022-02-24,عالية,منصة التوثيق الإلكتروني,كشف بيانات اعتماد إدارية في مستودع شيفرة خارجي,تحقيق في نشر بيانات اعتماد تشغيلية بمستودع عام وإجراءات الإبطال. المرجع SOC-2022-9350 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق بعد المراجعة
INC-00045,2025-01-07,متوسطة,منصة التحليلات المؤسسية,مراجعة ما بعد الحادثة لمنصة التحليلات المؤسسية,مراجعة تفصيلية لأسباب جذرية وثغرات ضبط لم تُعالج بعد. المرجع SOC-2025-8428 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,مصعّد
INC-00046,2019-09-20,عالية,نظام إدارة العقود,تهديد بتعطيل منظومة ذات استخدام عسكري مساند,بلاغ عن استهداف منظومة عسكري الاستخدام مرتبطة بالجهة. المرجع SOC-2019-2960 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,مصعّد
INC-00047,2025-07-18,متوسطة,منصة الاجتماعات المؤمّنة,نتائج اختبار اختراق منصة الاجتماعات المؤمّنة - الربع الأول 2025,تحقيق هجومي كشف مسارات تجاوز مصادقة قابلة للاستغلال. المرجع SOC-2025-7789 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مصعّد
INC-00048,2021-06-04,عالية,منصة التحليلات المؤسسية,ثغرة إعدادات افتراضية غير آمنة في منصة التحليلات المؤسسية,تحقيق فني في ثغرة مكتشفة وتقييم قابلية الاستغلال وخطة المعالجة. المرجع SOC-2021-9325 · الجهة المعنية: إدارة حوكمة البيانات.,إدارة حوكمة البيانات,مغلق
INC-00049,2024-04-25,عالية,شبكة الاتصالات الداخلية,حجب خدمة موزع على شبكة الاتصالات الداخلية - جدة,تحقيق في هجوم حجب خدمة أثّر على توفر المنصة وخطة الصد. المرجع SOC-2024-7515 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مصعّد
INC-00050,2022-04-08,عالية,نظام إدارة العقود,إساءة استخدام صلاحيات إدارية في نظام إدارة العقود,تحقيق في استخدام حساب إداري للوصول إلى سجلات خارج نطاق العمل. المرجع SOC-2022-7238 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المعالجة
INC-00051,2019-10-21,عالية,شبكة الربط الحكومي,مراجعة ما بعد الحادثة لشبكة الربط الحكومي,مراجعة تفصيلية لأسباب جذرية وثغرات ضبط لم تُعالج بعد. المرجع SOC-2019-9996 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مغلق
INC-00052,2019-02-27,عالية,منصة التحليلات المؤسسية,رصد تحركات القوات في بيانات تتبع مسربة,ظهور بيانات تحركات القوات ضمن مجموعة بيانات مسربة قيد الفحص. المرجع SOC-2019-2285 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مغلق بعد المراجعة
INC-00053,2019-07-25,عالية,منصة تبادل البيانات الوطنية,مؤشرات اختراق مستمرة في شريحة الشبكة 31,نشاط مستمر غير مفسر داخل شريحة إنتاجية وخطة الاحتواء المرحلية. المرجع SOC-2019-1842 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,مغلق بعد المراجعة
INC-00054,2024-07-13,عالية,مركز البيانات الرئيسي,نتائج اختبار اختراق مركز البيانات الرئيسي - الربع الثاني 2024,تحقيق هجومي كشف مسارات رفع صلاحيات قابلة للاستغلال. المرجع SOC-2024-6548 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مصعّد
INC-00055,2019-03-25,متوسطة,منصة المراسلات الرسمية,محاولة وصول غير مصرح إلى مواقع تخزين النسخ الاحتياطية,محاولات متكررة للوصول إلى مواقع تخزين النسخ خارج ساعات العمل. المرجع SOC-2019-5663 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,قيد المعالجة
INC-00056,2026-06-10,عالية,نظام إدارة الهوية المركزي,اختراق في سلسلة الإمداد عبر مكوّن طرف ثالث (2026),تحقيق في مكوّن مورد يحتوي شيفرة غير موثوقة داخل بيئة الإنتاج. المرجع SOC-2026-5293 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,مصعّد
INC-00057,2020-06-12,متوسطة,منصة التحليلات المؤسسية,خطة الاستجابة الاستراتيجية لحوادث قطاع الشراكات,خطة استراتيجية لتصعيد الحوادث وتوزيع الأدوار بين الفرق. المرجع SOC-2020-6150 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مغلق بعد المراجعة
INC-00058,2021-08-07,متوسطة,منصة الاجتماعات المؤمّنة,اختراق في سلسلة الإمداد عبر مكوّن طرف ثالث (2021),تحقيق في مكوّن مورد يحتوي شيفرة غير موثوقة داخل بيئة الإنتاج. المرجع SOC-2021-8629 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مصعّد
INC-00059,2023-12-05,منخفضة,منصة التوثيق الإلكتروني,تصريح عن اكتمال تحديث أمني في منصة التوثيق الإلكتروني - 2023,تصريح رسمي عن اكتمال التحديث دون كشف تفاصيل فنية. المرجع SOC-2023-7422 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
INC-00060,2022-04-02,عالية,شبكة الاتصالات الداخلية,حادثة مساس بمتطلبات سيادة البيانات في شبكة الاتصالات الداخلية,نقل بيانات خارج النطاق المصرح بما يخل بمتطلبات سيادة البيانات. المرجع SOC-2022-3709 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
INC-00061,2021-04-23,حرجة,نظام إدارة الهوية المركزي,إحاطة عاجلة للمركز الوطني بشأن حادثة الدمام,إحاطة تتضمن مؤشرات اختراق ومواقع تأثير لا يجوز تداولها. المرجع SOC-2021-6138 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
INC-00062,2020-06-25,متوسطة,بوابة المدفوعات الوطنية,تقييم الأثر الاستراتيجي لانقطاع بوابة المدفوعات الوطنية,دراسة استراتيجية لأثر الانقطاع على الالتزامات التعاقدية. المرجع SOC-2020-5861 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,قيد المراجعة
INC-00063,2022-03-19,متوسطة,بوابة المستفيدين,بلاغ عن ضياع جهاز يحتوي بيانات هوية منسوبين,فقدان جهاز محمول يحتوي ملفات بها بيانات هوية وتواصل. المرجع SOC-2022-1622 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,قيد المراجعة
INC-00064,2020-09-15,عالية,منصة الاجتماعات المؤمّنة,نتائج اختبار اختراق منصة الاجتماعات المؤمّنة - الربع الثاني 2020,تحقيق هجومي كشف مسارات تجاوز مصادقة قابلة للاستغلال. المرجع SOC-2020-8008 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مغلق بعد المراجعة
INC-00065,2022-03-23,عالية,نظام الأرشفة الإلكترونية,إساءة استخدام صلاحيات إدارية في نظام الأرشفة الإلكترونية,تحقيق في استخدام حساب إداري للوصول إلى سجلات خارج نطاق العمل. المرجع SOC-2022-5451 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة
INC-00066,2022-07-11,عالية,شبكة الربط الحكومي,محاولة وصول غير مصرح إلى مواقع تخزين النسخ الاحتياطية,محاولات متكررة للوصول إلى مواقع تخزين النسخ خارج ساعات العمل. المرجع SOC-2022-1997 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مغلق
INC-00067,2019-11-20,متوسطة,نظام إدارة العقود,ثغرة ثغرة في سلسلة الإمداد في نظام إدارة العقود,تحقيق فني في ثغرة مكتشفة وتقييم قابلية الاستغلال وخطة المعالجة. المرجع SOC-2019-8205 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
INC-00068,2020-11-02,متوسطة,منصة التوثيق الإلكتروني,بلاغ عن ضياع جهاز يحتوي بيانات هوية منسوبين,فقدان جهاز محمول يحتوي ملفات بها بيانات هوية وتواصل. المرجع SOC-2020-4378 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
INC-00069,2021-01-28,عالية,شبكة الاتصالات الداخلية,قضية احتيال إلكتروني على بوابة المدفوعات (2021),قضية احتيال قيد المتابعة مع الجهات المختصة وتقدير الخسارة. المرجع SOC-2021-4379 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,قيد المعالجة
INC-00070,2024-08-22,متوسطة,شبكة الربط الحكومي,كشف بيانات اعتماد إدارية في مستودع شيفرة خارجي,تحقيق في نشر بيانات اعتماد تشغيلية بمستودع عام وإجراءات الإبطال. المرجع SOC-2024-5057 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مصعّد
INC-00071,2020-11-13,عالية,بوابة الموردين الإلكترونية,تسريب مستندات تفاوضية من بوابة الموردين الإلكترونية,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2020-3900 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المعالجة
INC-00072,2025-06-02,منخفضة,مركز البيانات الاحتياطي,كشف غير مقصود لبيانات شخصية في مركز البيانات الاحتياطي,إعداد خاطئ أدى لظهور بيانات شخصية لعدد محدود من المستفيدين. المرجع SOC-2025-8394 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مغلق بعد المراجعة
INC-00073,2021-11-09,عالية,نظام النسخ الاحتياطي المركزي,هجوم فدية على نظام النسخ الاحتياطي المركزي - خميس مشيط,قضية ابتزاز إلكتروني قيد المعالجة مع تقييم أثر التوقف التشغيلي. المرجع SOC-2021-8867 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مغلق بعد المراجعة
INC-00074,2019-05-02,عالية,نظام إدارة الهوية المركزي,هجوم فدية على نظام إدارة الهوية المركزي - نجران,قضية ابتزاز إلكتروني قيد المعالجة مع تقييم أثر التوقف التشغيلي. المرجع SOC-2019-5223 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00075,2020-11-18,متوسطة,منصة الاجتماعات المؤمّنة,ثغرة ضعف في تشفير القنوات في منصة الاجتماعات المؤمّنة,تحقيق فني في ثغرة مكتشفة وتقييم قابلية الاستغلال وخطة المعالجة. المرجع SOC-2020-8879 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,قيد المراجعة
INC-00076,2023-12-03,عالية,نظام التحقق الرقمي,اختراق شبكة ربط تخدم منشأة حيوية في الطائف,وصول غير مصرح إلى شريحة شبكة تخدم منشأة حيوية وخطة العزل الفوري. المرجع SOC-2023-2118 · الجهة المعنية: إدارة حوكمة البيانات.,إدارة حوكمة البيانات,مغلق
INC-00077,2025-07-25,عالية,شبكة الربط الحكومي,تقييم الأثر الاستراتيجي لانقطاع شبكة الربط الحكومي,دراسة استراتيجية لأثر الانقطاع على الالتزامات التعاقدية. المرجع SOC-2025-2603 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,قيد المراجعة
INC-00078,2022-06-30,متوسطة,بوابة المستفيدين,خطة الاستجابة الاستراتيجية لحوادث قطاع الشراكات,خطة استراتيجية لتصعيد الحوادث وتوزيع الأدوار بين الفرق. المرجع SOC-2022-6447 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,قيد المراجعة
INC-00079,2025-03-25,متوسطة,مركز البيانات الاحتياطي,تقييم الأثر الاستراتيجي لانقطاع مركز البيانات الاحتياطي,دراسة استراتيجية لأثر الانقطاع على الالتزامات التعاقدية. المرجع SOC-2025-3320 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
INC-00080,2025-02-16,حرجة,منصة الخدمات الحكومية الموحدة,اشتباه اختراق مرتبط بمواقع تخزين أسلحة خاضعة للرقابة,محاولة وصول إلى سجلات مواقع أسلحة ومواد خاضعة للرقابة. المرجع SOC-2025-7744 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مغلق
INC-00081,2023-05-29,حرجة,منصة تبادل البيانات الوطنية,اشتباه اختراق مرتبط بمواقع تخزين أسلحة خاضعة للرقابة,محاولة وصول إلى سجلات مواقع أسلحة ومواد خاضعة للرقابة. المرجع SOC-2023-1091 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,قيد المراجعة
INC-00082,2026-06-01,عالية,نظام التخطيط المؤسسي,ثغرة ثغرة في سلسلة الإمداد في نظام التخطيط المؤسسي,تحقيق فني في ثغرة مكتشفة وتقييم قابلية الاستغلال وخطة المعالجة. المرجع SOC-2026-7915 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة
INC-00083,2020-04-09,متوسطة,شبكة الربط الحكومي,إساءة استخدام صلاحيات إدارية في شبكة الربط الحكومي,تحقيق في استخدام حساب إداري للوصول إلى سجلات خارج نطاق العمل. المرجع SOC-2020-6160 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المراجعة
