record_id,entity_name_ar,cr_number,main_activity,city,registration_status,dataset_source,license
OPEN-00011,مركز الفيفي للأعمال العقارية,6906708471,الصناعة التحويلية,عرعر,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00012,شركة المطيري للخدمات اللوجستية,6506177641,الصناعات الغذائية,نجران,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00013,مصنع السبيعي للمقاولات,3406931745,البحث والتطوير,بريدة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00014,مركز الحوساوي للطباعة والنشر,3406403590,تجارة التجزئة,بريدة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00015,مختبرات الهاجري لتقنية المعلومات,6506688779,الصناعة التحويلية,نجران,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00016,مكتب الغامدي للخدمات اللوجستية,3206022701,الاستيراد والتصدير,حائل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00017,مركز القرني للمقاولات,4652595900,الإعلام والتواصل,ينبع,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00018,مكتب الحربي للخدمات اللوجستية,6906369881,الاستيراد والتصدير,عرعر,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00019,مجموعة الشهراني للأمن السيبراني,3406743363,الشحن والنقل,بريدة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00020,مصنع الحوساوي لتقنية المعلومات,6006080858,الخدمات الحكومية,جازان,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00021,مؤسسة الرشيدي للأعمال العقارية,1010480210,الصناعة التحويلية,الرياض,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00022,مجموعة العسيري للخدمات المالية,5854713608,التمويل والبنوك,خميس مشيط,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00023,مصنع العمري للبنية التحتية,4032686267,البناء والتشييد,الطائف,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00024,شركة مساهمة العتيبي للمقاولات,6006214841,الخدمات الحكومية,جازان,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00025,مجموعة القرني للمستشفيات,5855593038,تجارة التجزئة,أبها,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00026,مركز المقرن للاستشارات,2050101520,الخدمات الصحية,الدمام,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00027,مكتب الشهري للترجمة والتعريب,2051918946,المقاولات,الجبيل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00028,مركز الشمري للتعليم والتدريب,1010760443,الخدمات الحكومية,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00029,شركة مساهمة الهاجري للأعمال العقارية,5606763103,الخدمات اللوجستية,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00030,مكتب المسعود للخدمات المالية,7106719431,تقنية المعلومات,سكاكا,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00031,مجموعة القرني للبنية التحتية,1010877598,تقنية المعلومات,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00032,مركز الخالدي للصناعات الغذائية,4652218948,الطاقة والكهرباء,ينبع,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00033,مجموعة الحازمي للإعلام والتواصل,6906821436,التمويل والبنوك,عرعر,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00034,مكتب الشهراني للتطوير البرمجي,3406092790,الصناعات الغذائية,بريدة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00035,مصنع الرويلي للخدمات المالية,4650992310,التعليم والتدريب,المدينة المنورة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00036,شركة مساهمة الزهراني للبنية التحتية,4652077760,الخدمات اللوجستية,ينبع,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00037,مجموعة السواط للأمن السيبراني,6006992449,الصناعات الغذائية,جازان,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00038,مكتب السواط للمقاولات,4652090849,التمويل والبنوك,ينبع,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00039,مجموعة الثبيتي للترجمة والتعريب,4030125675,التمويل والبنوك,جدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00040,شركة مساهمة البقمي للخدمات المالية,4650427170,تقنية المعلومات,المدينة المنورة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00041,شركة المطيري للطباعة والنشر,5855935961,التجارة الإلكترونية,أبها,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00042,شركة العسيري للتسويق الرقمي,7106945452,السياحة والضيافة,سكاكا,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00043,مختبرات الزبيدي للخدمات المالية,6006392409,التعليم والتدريب,جازان,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00044,شركة مساهمة العمري لإدارة المشاريع,4031042640,الإعلام والتواصل,مكة المكرمة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00045,مصنع القحطاني للترجمة والتعريب,5854110343,الإعلام والتواصل,خميس مشيط,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00046,شركة مساهمة الغامدي للاستشارات,4652237884,السياحة والضيافة,ينبع,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00047,مؤسسة العرجاني للخدمات المالية,3206519386,البحث والتطوير,حائل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00048,شركة الزبيدي للأمن السيبراني,3206198346,الخدمات الصحية,حائل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00049,مختبرات الخالدي للطباعة والنشر,7106356156,البناء والتشييد,سكاكا,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00050,شركة مساهمة الجهني للتعليم والتدريب,3406833533,الخدمات الحكومية,بريدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00051,مركز الرويلي للتسويق الرقمي,1010786382,التمويل والبنوك,الرياض,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00052,مجموعة القرني للتجهيزات الطبية,6906510675,التمويل والبنوك,عرعر,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00053,شركة الزياني للترجمة والتعريب,1010172043,التعليم والتدريب,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00054,مؤسسة الأسمري للمستشفيات,4031911732,الاستيراد والتصدير,مكة المكرمة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00055,شركة مساهمة الحوساوي لتقنية المعلومات,2050917487,الإعلام والتواصل,الدمام,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00056,شركة الزهراني للترجمة والتعريب,6906431741,المقاولات,عرعر,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00057,شركة الحميدي للترجمة والتعريب,4032581442,تجارة التجزئة,الطائف,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00058,مجموعة العامري للبنية التحتية,5854344270,الشحن والنقل,خميس مشيط,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00059,مختبرات الخالدي للخدمات اللوجستية,5854266225,تجارة التجزئة,خميس مشيط,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00060,مكتب الرويلي لإدارة المشاريع,5606250589,البناء والتشييد,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00061,مكتب الغامدي للطباعة والنشر,2050396260,الإعلام والتواصل,الدمام,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00062,شركة مساهمة الأسمري للخدمات البيئية,1010349980,التمويل والبنوك,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00063,مختبرات البلوي للخدمات البيئية,4032703382,السياحة والضيافة,الطائف,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00064,مؤسسة البلوي للأعمال العقارية,6506875689,الاستيراد والتصدير,نجران,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00065,مركز العنزي لتقنية المعلومات,4652019685,الخدمات الحكومية,ينبع,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00066,شركة مساهمة الحوساوي للمقاولات,5606426565,الخدمات الحكومية,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00067,شركة مساهمة الحازمي للأعمال العقارية,6506541519,الأمن والحراسة,نجران,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00068,شركة مساهمة المسعود للمقاولات,4650629846,الاستشارات,المدينة المنورة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00069,مختبرات القحطاني لتقنية المعلومات,5606155492,الأمن والحراسة,تبوك,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00070,مكتب الشمري للخدمات المالية,3206089935,التعليم والتدريب,حائل,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00071,مركز الخالدي لإدارة المشاريع,4650737448,التمويل والبنوك,المدينة المنورة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00072,مؤسسة الصاعدي للتجهيزات الطبية,4031166998,الإعلام والتواصل,مكة المكرمة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00073,مركز البقمي للتسويق الرقمي,5606886693,الشحن والنقل,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00074,مؤسسة الثبيتي للمستشفيات,5854135981,البحث والتطوير,خميس مشيط,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00075,شركة القحطاني للخدمات المالية,5854789840,الاستشارات,خميس مشيط,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00076,شركة البلوي للمقاولات,1010799616,الاستيراد والتصدير,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00077,شركة مساهمة الزبيدي للمقاولات,3406495333,التمويل والبنوك,بريدة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00078,شركة مساهمة الرشيدي للتطوير البرمجي,5855417665,السياحة والضيافة,أبها,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00079,شركة السلمي للتجهيزات الطبية,7106672844,الطاقة والكهرباء,سكاكا,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00080,مركز الصاعدي للاتصالات,4032110742,البحث والتطوير,الطائف,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00081,شركة مساهمة الفيفي للتطوير البرمجي,5606428014,التعليم والتدريب,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00082,مختبرات القرني للأمن السيبراني,7106834975,الصناعات الغذائية,سكاكا,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00083,شركة العتيبي للطباعة والنشر,5854739789,التجارة الإلكترونية,خميس مشيط,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00084,مختبرات المسعود للأعمال العقارية,6906701378,الطاقة والكهرباء,عرعر,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00085,مختبرات الحازمي للاتصالات,6506580775,الخدمات اللوجستية,نجران,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00086,شركة العمري للخدمات المالية,4030384448,الاستيراد والتصدير,جدة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00087,مؤسسة الشهراني للبنية التحتية,5606687107,التمويل والبنوك,تبوك,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00088,مصنع العتيبي للإعلام والتواصل,4031978270,الخدمات اللوجستية,مكة المكرمة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00089,مجموعة العرجاني للتجهيزات الطبية,6506640323,السياحة والضيافة,نجران,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00090,مؤسسة البلوي للاستشارات,5854634648,التعليم والتدريب,خميس مشيط,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00091,مكتب الزبيدي للإعلام والتواصل,6006779431,السياحة والضيافة,جازان,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00092,مختبرات الشمري للأمن السيبراني,1010684081,التعليم والتدريب,الرياض,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00093,شركة المالكي لتقنية المعلومات,2051901627,الإعلام والتواصل,الجبيل,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00094,مؤسسة البقمي للتجهيزات الطبية,1010515563,الصناعة التحويلية,الرياض,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00095,مختبرات الدوسري للخدمات البيئية,4652193687,تقنية المعلومات,ينبع,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00096,مجموعة الغامدي للخدمات المالية,5854877471,التجارة الإلكترونية,خميس مشيط,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00097,مجموعة السواط للخدمات اللوجستية,7106723112,السياحة والضيافة,سكاكا,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00098,مختبرات السلمي للاتصالات,7106432369,الصناعة التحويلية,سكاكا,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00099,مركز الربيعي للتعليم والتدريب,2050823843,تجارة التجزئة,الدمام,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00100,مختبرات العتيبي للترجمة والتعريب,5854590530,التعليم والتدريب,خميس مشيط,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00101,شركة الحازمي للاتصالات,1010487827,السياحة والضيافة,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00102,مصنع التميمي للأمن السيبراني,4650798407,الطاقة والكهرباء,المدينة المنورة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00103,مصنع العتيبي للمستشفيات,2051866563,الخدمات اللوجستية,الجبيل,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00104,شركة الحازمي للمستشفيات,3406056598,التمويل والبنوك,بريدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00105,مركز السلمي للتطوير البرمجي,3406176897,التعليم والتدريب,بريدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00106,شركة اليامي لتقنية المعلومات,4650258768,الإعلام والتواصل,المدينة المنورة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00107,مصنع العوفي لتقنية المعلومات,3206228965,البناء والتشييد,حائل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00108,مختبرات اليامي للخدمات المالية,6906359377,الاستشارات,عرعر,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00109,مختبرات الشريف للترجمة والتعريب,5855325864,الخدمات الصحية,أبها,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00110,شركة مساهمة الأسمري لتقنية المعلومات,6906864331,الصناعات الغذائية,عرعر,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00111,شركة المرواني للمقاولات,7106397628,الطاقة والكهرباء,سكاكا,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00112,شركة البلوي للترجمة والتعريب,4031988751,التجارة الإلكترونية,مكة المكرمة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00113,مصنع الصاعدي للإعلام والتواصل,3406846859,البناء والتشييد,بريدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00114,شركة مساهمة العتيبي للطباعة والنشر,6506202886,الاستيراد والتصدير,نجران,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00115,مختبرات الحازمي للإعلام والتواصل,4030133124,الأمن والحراسة,جدة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00116,مؤسسة الشهري للاتصالات,4030272187,الخدمات الصحية,جدة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00117,مؤسسة الخالدي للاتصالات,4030285118,الشحن والنقل,جدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00118,مكتب الزياني للترجمة والتعريب,6006707131,التجارة الإلكترونية,جازان,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00119,مجموعة المطيري للإعلام والتواصل,3206497020,الخدمات الصحية,حائل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00120,مركز العتيبي للترجمة والتعريب,2051890704,الخدمات الحكومية,الجبيل,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00121,شركة مساهمة السواط للصناعات الغذائية,1010187513,الخدمات الصحية,الرياض,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00122,مركز الشهراني للتعليم والتدريب,2050636387,الخدمات اللوجستية,الدمام,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00123,مؤسسة الأسمري للمستشفيات,4650569098,الأمن والحراسة,المدينة المنورة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00124,شركة البلوي للخدمات اللوجستية,6506523399,التمويل والبنوك,نجران,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00125,مكتب الغامدي للتسويق الرقمي,5855973639,التجارة الإلكترونية,أبها,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00126,مصنع القرشي للأمن السيبراني,6006664138,البحث والتطوير,جازان,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00127,مختبرات الحميدي للخدمات اللوجستية,7106151956,الصناعة التحويلية,سكاكا,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00128,مصنع الحربي للاتصالات,4652046392,التمويل والبنوك,ينبع,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00129,مصنع الرويلي للصناعات الغذائية,5854150087,البناء والتشييد,خميس مشيط,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00130,مجموعة الهاجري للخدمات اللوجستية,4650464448,البناء والتشييد,المدينة المنورة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00131,شركة مساهمة السهلي للأمن السيبراني,7106047033,الصناعة التحويلية,سكاكا,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00132,مصنع السديري للأمن السيبراني,5606697919,الخدمات الحكومية,تبوك,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00133,مجموعة السلمي للتسويق الرقمي,1010645354,التمويل والبنوك,الرياض,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00134,مختبرات السبيعي للتطوير البرمجي,5606642491,الاستشارات,تبوك,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00135,شركة الدوسري للأعمال العقارية,6506757822,تجارة التجزئة,نجران,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00136,مصنع السواط للبنية التحتية,2050443411,الشحن والنقل,الدمام,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00137,مختبرات المالكي للخدمات اللوجستية,4031738025,التعليم والتدريب,مكة المكرمة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00138,شركة مساهمة الزياني للخدمات البيئية,2050818561,التمويل والبنوك,الدمام,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00139,شركة مساهمة الخالدي للاتصالات,4032170552,الصناعة التحويلية,الطائف,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00140,مؤسسة العرجاني للاتصالات,4030675242,الصناعات الغذائية,جدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00141,شركة اليامي للاستشارات,5606201588,الخدمات الصحية,تبوك,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00142,مجموعة السلمي للخدمات اللوجستية,1010175664,البحث والتطوير,الرياض,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00143,شركة الفيفي للخدمات اللوجستية,5606915369,الاستيراد والتصدير,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00144,شركة الحربي للخدمات اللوجستية,4650913966,الصناعات الغذائية,المدينة المنورة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00145,مجموعة الحميدي للاتصالات,3406503523,السياحة والضيافة,بريدة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00146,مؤسسة الرشيدي للتسويق الرقمي,4032618510,الخدمات الحكومية,الطائف,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00147,مختبرات الدوسري للخدمات المالية,6506019328,الخدمات اللوجستية,نجران,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00148,شركة مساهمة السهلي للبنية التحتية,5606657753,البناء والتشييد,تبوك,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
