initiative_id,created_date,initiative_title_ar,description_ar,owning_sector,approval_stage,disclosure_status
INIT-00024,2019-05-29,مبادرة إدارة مفاتيح التشفير على مستوى الجهات الوطنية,تصميم مركزي لإدارة مفاتيح التشفير عبر الأنظمة الوطنية. المرجع INI-2019-9139 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,غير معلن
INIT-00025,2025-11-03,معاهدة تعاون تقني قيد التفاوض مع منظمة إقليمية,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2025-9215 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,معتمدة داخليًا,معلن جزئيًا
INIT-00026,2025-08-03,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2025-2490 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مسودة أولية,غير معلن
INIT-00027,2026-05-12,معاهدة تعاون تقني قيد التفاوض مع جهة سيادية شريكة,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2026-2588 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,بانتظار الاعتماد,معلن جزئيًا
INIT-00028,2020-10-03,مبادرة داخلية رقم SI-2020-440 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2020-3108 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مسودة أولية,غير معلن
INIT-00029,2024-09-17,الميزانية الاستراتيجية لبرنامج التوسع الإقليمي 2024-2027,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2024-2056 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,بانتظار الاعتماد,معلن جزئيًا
INIT-00030,2025-03-15,مشروع منظومة اتصالات لجهة عسكري الطابع,متطلبات منظومة اتصالات لجهة عسكري الطابع وقيود التسليم. المرجع INI-2025-3264 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,بانتظار الاعتماد,غير معلن
INIT-00031,2024-07-22,مذكرة تفاهم مع تحالف صناعي دولي لتنفيذ برنامج تحديث البنية التقنية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2024-4722 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,غير معلن
INIT-00032,2024-05-07,مسار تفاوض دبلوماسي لتوطين برنامج الحوسبة السيادية,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2024-7807 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مسودة أولية,معلن جزئيًا
INIT-00033,2019-04-16,مصفوفة الشركاء المحتملين لبرنامج الاستحواذ التقني,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2019-5761 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,بانتظار الاعتماد,معلن جزئيًا
INIT-00034,2021-03-09,مشروع تأمين مواقع تخزين أسلحة خاضعة للرقابة,تصميم ضوابط تأمين مواقع أسلحة ومواد خاضعة للرقابة. المرجع INI-2021-9553 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,بانتظار الاعتماد,غير معلن
INIT-00035,2019-03-30,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2019-4744 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00036,2025-08-18,مصفوفة الشركاء المحتملين لبرنامج أمن سلاسل الإمداد,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2025-2751 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,غير معلن
INIT-00037,2023-07-29,مصفوفة الشركاء المحتملين لبرنامج أمن سلاسل الإمداد,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2023-3755 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00038,2024-10-01,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2024-6534 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مسودة أولية,معلن جزئيًا
INIT-00039,2021-01-16,تحقيق جدوى موسّع لبرنامج تحديث البنية التقنية,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2021-7213 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,معلن جزئيًا
INIT-00040,2024-01-27,عقد مورد لتوريد تجهيزات برنامج الاستحواذ التقني,بنود عقد مورد وجدول التوريد والغرامات التعاقدية. المرجع INI-2024-3841 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,بانتظار الاعتماد,غير معلن
INIT-00041,2022-07-21,الميزانية الاستراتيجية لبرنامج التحول الرقمي 2022-2025,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2022-6115 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00042,2019-05-06,تحقيق جدوى موسّع لبرنامج الحوسبة السيادية,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2019-1246 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,غير معلن
INIT-00043,2021-07-15,خطة دخول سوق الأحساء - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2021-5332 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00044,2021-09-14,مشروع منظومة اتصالات لجهة عسكري الطابع,متطلبات منظومة اتصالات لجهة عسكري الطابع وقيود التسليم. المرجع INI-2021-2415 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,معتمدة داخليًا,غير معلن
INIT-00045,2024-02-15,متطلبات ربط شبكي لبرنامج الاستحواذ التقني,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2024-9353 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00046,2023-08-06,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2023-7256 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,معلن جزئيًا
INIT-00047,2023-10-03,إعادة هيكلة قطاع الشراكات - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2023-5440 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,بانتظار الاعتماد,معلن جزئيًا
INIT-00048,2022-07-23,مصفوفة الشركاء المحتملين لبرنامج المدن الذكية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2022-8981 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,بانتظار الاعتماد,غير معلن
INIT-00049,2022-05-14,مذكرة تفاهم مع دولة شريكة لتنفيذ برنامج أمن سلاسل الإمداد,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2022-6836 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,معتمدة داخليًا,معلن جزئيًا
INIT-00050,2025-11-26,عرض أسعار استشاري لمرحلة تصميم برنامج المرونة التشغيلية,عرض أسعار مقدم من بيت خبرة ضمن نطاق محدود. المرجع INI-2025-7350 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,معلن جزئيًا
INIT-00051,2022-02-24,معاهدة تعاون تقني قيد التفاوض مع شريك تقني عالمي,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2022-4358 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,معتمدة داخليًا,معلن جزئيًا
INIT-00052,2022-10-13,مبادرة داخلية رقم SI-2022-448 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2022-9881 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد الدراسة,معلن جزئيًا
INIT-00053,2024-03-31,مصفوفة الشركاء المحتملين لبرنامج الذكاء الاصطناعي المؤسسي,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2024-1022 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد الدراسة,معلن جزئيًا
INIT-00054,2020-09-26,نموذج تسعير برنامج الاستحواذ التقني للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2020-8196 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مرفوعة للجنة,غير معلن
INIT-00055,2023-06-11,برنامج تشغيل منشأة حيوية وطنية في ينبع,نطاق تشغيل منشأة حيوية وطنية وحدود المسؤولية التشغيلية. المرجع INI-2023-1190 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مرفوعة للجنة,غير معلن
INIT-00056,2023-08-19,إعادة هيكلة قطاع الشراكات - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2023-1972 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مسودة أولية,معلن جزئيًا
INIT-00057,2020-12-05,الميزانية الاستراتيجية لبرنامج أمن سلاسل الإمداد 2020-2023,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2020-4143 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد التنفيذ المبدئي,غير معلن
INIT-00058,2020-11-03,خطة دخول سوق الخبر - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2020-4732 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,غير معلن
INIT-00059,2025-03-23,بيان صحفي عن شراكة معلنة في جازان - 2025,بيان صحفي منشور عن شراكة تم الإعلان عنها رسميًا. المرجع INI-2025-9840 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد الدراسة,معلن
INIT-00060,2026-06-06,معاهدة تعاون تقني قيد التفاوض مع صندوق استثماري دولي,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2026-4828 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,معلن جزئيًا
INIT-00061,2024-10-25,مبادرة داخلية رقم SI-2024-756 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2024-1971 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مسودة أولية,معلن جزئيًا
INIT-00062,2021-06-19,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2021-2505 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,غير معلن
INIT-00063,2021-04-02,مبادرة تحليل استخبارات التهديد الوطنية,بناء قدرة استخبارات تهديد مشتركة بين الجهات الوطنية. المرجع INI-2021-9575 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,قيد التنفيذ المبدئي,غير معلن
INIT-00064,2024-06-06,خطة توزيع الكوادر على برنامج الذكاء الاصطناعي المؤسسي,توزيع كوادر مع بيانات شخصية ومسميات وظيفية تفصيلية. المرجع INI-2024-4504 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد الدراسة,غير معلن
INIT-00065,2026-03-23,خطة دخول سوق مكة المكرمة - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2026-2562 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مرفوعة للجنة,غير معلن
INIT-00066,2023-05-10,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2023-3244 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00067,2022-02-25,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2022-3788 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مسودة أولية,معلن جزئيًا
INIT-00068,2020-04-15,مبادرة إدارة مفاتيح التشفير على مستوى الجهات الوطنية,تصميم مركزي لإدارة مفاتيح التشفير عبر الأنظمة الوطنية. المرجع INI-2020-6995 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,غير معلن
INIT-00069,2024-12-03,نموذج تسعير برنامج التوسع الإقليمي للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2024-9233 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,بانتظار الاعتماد,معلن جزئيًا
INIT-00070,2025-04-16,متطلبات ربط شبكي لبرنامج الذكاء الاصطناعي المؤسسي,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2025-2262 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد الدراسة,غير معلن
INIT-00071,2025-03-12,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2025-6921 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00072,2025-02-15,مسار تفاوض دبلوماسي لتوطين برنامج المدن الذكية,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2025-6722 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد الدراسة,معلن جزئيًا
INIT-00073,2022-08-21,منشور تعريفي بمخرجات برنامج أمن سلاسل الإمداد في الطائف,منشور تعريفي عام بالمخرجات المعلنة للبرنامج. المرجع INI-2022-2278 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد التنفيذ المبدئي,معلن
INIT-00074,2021-09-30,نموذج تسعير برنامج التحول الرقمي للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2021-1826 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد الدراسة,معلن جزئيًا
INIT-00075,2025-05-02,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2025-1917 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,غير معلن
INIT-00076,2025-01-20,مذكرة داخلية لمتابعة مؤشرات برنامج الاستحواذ التقني,مذكرة داخلية دورية لمتابعة مؤشرات التنفيذ بين الإدارات. المرجع INI-2025-8395 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,بانتظار الاعتماد,معلن جزئيًا
INIT-00077,2021-07-13,مسار تفاوض دبلوماسي لتوطين برنامج المدن الذكية,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2021-6733 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد التنفيذ المبدئي,غير معلن
INIT-00078,2020-12-05,إعادة هيكلة قطاع العمليات - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2020-6333 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,معتمدة داخليًا,غير معلن
INIT-00079,2019-10-28,مذكرة تفاهم مع دولة شريكة لتنفيذ برنامج تكامل الأنظمة الحكومية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2019-4681 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,غير معلن
INIT-00080,2026-02-27,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2026-2168 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مرفوعة للجنة,معلن جزئيًا
INIT-00081,2019-01-20,مشروع منظومة اتصالات لجهة عسكري الطابع,متطلبات منظومة اتصالات لجهة عسكري الطابع وقيود التسليم. المرجع INI-2019-5200 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد التنفيذ المبدئي,غير معلن
INIT-00082,2022-10-23,خطة توزيع الكوادر على برنامج الاستحواذ التقني,توزيع كوادر مع بيانات شخصية ومسميات وظيفية تفصيلية. المرجع INI-2022-4331 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,بانتظار الاعتماد,معلن جزئيًا
INIT-00083,2023-01-20,نموذج تسعير برنامج تحديث البنية التقنية للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2023-7057 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مسودة أولية,معلن جزئيًا
INIT-00084,2026-01-04,مذكرة تفاهم مع صندوق استثماري دولي لتنفيذ برنامج أمن سلاسل الإمداد,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2026-7901 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مسودة أولية,غير معلن
INIT-00085,2020-04-26,تحقيق جدوى موسّع لبرنامج التحول الرقمي,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2020-1610 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,معتمدة داخليًا,غير معلن
INIT-00086,2019-06-09,مصفوفة الشركاء المحتملين لبرنامج تكامل الأنظمة الحكومية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2019-1431 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مسودة أولية,غير معلن
INIT-00087,2021-09-04,خطة توزيع الكوادر على برنامج الذكاء الاصطناعي المؤسسي,توزيع كوادر مع بيانات شخصية ومسميات وظيفية تفصيلية. المرجع INI-2021-1772 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد الدراسة,معلن جزئيًا
INIT-00088,2021-06-30,خطة دخول سوق عرعر - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2021-2946 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00089,2020-10-31,إعادة هيكلة قطاع التحول الرقمي - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2020-5517 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,غير معلن
INIT-00090,2021-02-27,تحقيق جدوى موسّع لبرنامج الاستحواذ التقني,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2021-1605 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,غير معلن
INIT-00091,2020-03-28,المشروع الوطني المرجعي رقم NP-470 - تداول اللجنة العليا,مشروع لا تُتداول تفاصيله خارج اللجنة العليا لارتباطه بمواقع وطنية. المرجع INI-2020-9630 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,غير معلن
